,0
economico_UE_sin_ventas_624,0
economico_UE_con_ventas_624,0
economico_UE_sin_ventas_711,0
economico_UE_con_ventas_711,0
economico_UE_sin_ventas_712,0
economico_UE_con_ventas_712,0
economico_UE_sin_ventas_713,0
economico_UE_con_ventas_713,0
economico_UE_sin_ventas_721,0
economico_UE_con_ventas_721,0
economico_UE_sin_ventas_722,0
economico_UE_con_ventas_722,0
economico_UE_sin_ventas_811,0
economico_UE_con_ventas_811,0
economico_UE_sin_ventas_812,0
economico_UE_con_ventas_812,0
economico_UE_sin_ventas_813,0
economico_UE_con_ventas_813,0
economico_UE_sin_ventas_482,2284
economico_UE_con_ventas_482,2284
economico_UE_sin_ventas_211,2045
economico_UE_con_ventas_211,2045
economico_UE_sin_ventas_481,287
economico_UE_con_ventas_481,287
economico_UE_sin_ventas_486,1456
economico_UE_con_ventas_486,1456
economico_UE_sin_ventas_521,2453
economico_UE_con_ventas_521,2453
Disponen_energía_eléctrica,0
No_disponen_energía_eléctrica,30
disponen_energía_eléctrica_No_esp,1321
Disponen_agua_entubada,0
No_disponen_agua_entubada,46
disponen_agua_entubada_no_esp,1297
Disponen_drenaje,0
No_disponen_drenaje,8
disponen_drenaje_no_esp,1251
CONAPO_IM_2020,0
CONAPO_GM_2020,0
conteo_aeropuertos,0
pasajeros_2019,144
vuelos_2019,144
eci_2015,12
eci_2016,11
eci_2017,11
eci_2018,9
eci_2019,4
eci_2020,4
