entidad,subsector,UE_sin_ventas,UE_con_ventas
12,435,241,33
12,436,20,1
12,461,33229,46
12,462,893,53
12,463,8859,80
12,464,1939,80
12,465,10222,91
12,466,3640,92
12,467,2544,56
12,468,1789,135
12,469,7,1
12,483,57,0
12,484,101,6
12,485,161,3
12,487,57,4
12,488,62,8
12,491,1,0
12,492,31,0
12,493,3,0
12,511,18,7
12,512,20,15
12,515,31,2
12,517,100,1
12,518,1,0
12,519,5,1
12,522,347,60
12,523,24,0
12,524,35,6
12,531,666,26
12,532,379,13
12,533,1,0
12,541,1464,81
12,561,1803,94
12,562,10,0
12,611,709,54
12,621,2950,73
12,622,52,3
12,623,39,2
12,624,736,8
12,711,145,5
12,712,8,0
12,713,1108,12
12,721,977,122
12,722,19571,147
12,811,8531,78
12,812,5682,50
12,813,768,11
13,112,142,3
13,114,28,0
13,115,6,0
13,212,118,13
13,221,73,11
13,236,74,68
13,237,52,47
13,238,95,14
13,311,6656,30
13,312,511,8
13,313,64,2
13,314,301,15
13,315,1355,29
13,316,297,3
13,321,864,16
13,322,66,4
13,323,370,31
13,324,6,1
13,325,115,16
13,326,60,13
13,327,952,19
13,331,20,7
13,332,1702,38
13,333,37,7
13,334,2,2
13,335,5,4
13,336,48,3
13,337,688,17
13,339,456,16
13,431,478,51
13,432,77,9
13,433,98,14
13,434,2259,94
13,435,347,53
13,436,59,7
13,461,24341,47
13,462,1172,17
13,463,6762,96
13,464,2511,67
13,465,8048,89
13,466,4221,101
13,467,4053,112
13,468,2421,163
13,469,12,0
13,481,1,0
13,483,2,0
13,484,84,34
13,485,85,8
13,487,9,4
13,488,77,6
13,491,1,0
13,492,12,3
13,493,6,1
13,511,22,5
13,512,16,9
13,515,28,3
13,517,129,11
13,518,4,0
13,519,12,1
13,522,386,40
13,523,25,6
13,524,77,8
13,531,931,21
13,532,636,20
13,541,2131,158
13,561,2035,83
13,562,18,1
13,611,1106,105
13,621,3640,103
13,622,56,4
13,623,41,2
13,624,389,2
13,711,110,10
13,712,13,0
13,713,965,22
13,721,607,63
13,722,14274,137
13,811,9266,122
13,812,6560,63
13,813,628,4
14,112,165,5
14,114,219,0
14,115,59,5
14,212,64,8
14,213,3,1
14,221,119,6
14,236,606,118
14,237,256,33
14,238,423,81
14,311,10401,187
14,312,1950,53
14,313,107,9
14,314,466,41
14,315,2000,82
14,316,1132,68
14,321,2070,46
14,322,387,58
14,323,1233,185
14,324,21,4
14,325,528,83
14,326,676,143
14,327,3457,63
14,331,122,17
